game_id,total_incercari,cuvant_gasit,status,secventa_incercari
﻿1,8,iconografă,OK,e i n o c g f ă
2,7,fagocitul,OK,i l o f g t u
3,6,apicolilor,OK,i e o l a r
4,5,hipoplazii,OK,i p l a z
5,5,prohodi,OK,r g p d i
6,6,cioplea,OK,i s c o e a
7,9,covârșitelor,OK,e a o r c â ș t l
8,6,pârguirile,OK,r i â g l e
9,7,burghierile,OK,i p b u g h l
10,7,samavolnicii,OK,n o a s v l c
11,4,cășăiește,OK,e ș c i
12,3,sisalul,OK,i l u
13,5,cinerariile,OK,i e c n l
14,9,dezaglomerăm,OK,i e z m d g l o ă
15,5,tetrodă,OK,i e t o d
16,6,mânjiturii,OK,i t â n j m
17,8,desofisticării,OK,i s d o t c ă r
18,4,tăieri,OK,i u e ă
19,7,gentileților,OK,o r e g n t ț
20,7,nenorocitul,OK,e n o r t u l
21,5,înaintă,OK,e a n î ă
22,6,istmicul,OK,i n t s m c
23,9,ascuțitunghicul,OK,i a s ț t n g h l
24,6,obnubilărilor,OK,i l b r n u
25,7,bumbăcelului,OK,i r u b l m e
26,10,postăvăriile,OK,i l e c t o s b p v
27,9,centrozomul,OK,i t u n o c r z m
28,6,debavurase,OK,e a d b v r
29,5,vramițe,OK,e r ț a m
30,3,retori,OK,r o e
31,7,epistolarelor,OK,r e o p s t a
32,9,închiabureați,OK,i a î n c u r e ț
33,7,laminatoarea,OK,i a m n t o r
34,7,platinez,OK,r i a l p t n
35,6,țăndărelei,OK,i e ă ț n l
36,5,tevaturi,OK,i u t e v
37,5,fidanțata,OK,i a n ț t
38,10,exondările,OK,i a u o n c x d ă r
39,7,decomandată,OK,e n d c o t ă
40,4,omagiali,OK,i a o g
41,7,stâlpisem,OK,i r l s t â m
42,4,elfilor,OK,f i o r
43,7,deconcertantele,OK,e n t d o r l
44,6,gagicului,OK,l c m t a g
45,7,apelarăm,OK,i e t p r ă m
46,9,spermatofitelor,OK,r e t s p m a i l
47,7,necredincioșilor,OK,i n e c d ș l
48,8,cinstețul,OK,i e n c ș ț u l
49,8,neoformațiunii,OK,i n e f m a ț u
50,8,pegmatitul,OK,i o t e m a u l
51,5,plutuiește,OK,ș u p l i
52,4,cintezii,OK,n c z t
53,8,folfăiesc,OK,e r n l c s ă f
54,7,otorinolaringologelor,OK,o r n g t a e
55,5,estetizantei,OK,t i s z n
56,7,balaoacheșă,OK,a e l o c h ș
57,6,notăriță,OK,i ț r t c n
58,5,duleți,OK,i e n u ț
59,7,rickettsiozei,OK,i t r c k o z
60,3,cireșe,OK,i e r
61,5,zgărdat,OK,r z g a t
62,7,prețioaselor,OK,r a e p ț i s
63,8,dimprejur,OK,o e s i m p j u
64,5,bulbucat,OK,i a u b c
65,7,arierdună,OK,i a t r e u ă
66,8,flacidei,OK,r n a l g f d e
67,7,convenționali,OK,i a n e o c v
68,7,cuconiță,OK,i r l n c o u
69,7,neliniștitorului,OK,i l t u e o r
70,7,bihindisirile,OK,i h n d s l e
71,7,împlinirea,OK,i e î m p r a
72,5,instigând,OK,n â d t g
73,3,recente,OK,e n t
74,6,emblemă,OK,n r z m b l
75,8,singurașul,OK,e i u s n r a l
76,8,subsecretarului,OK,s u r b c a l i
77,10,devitalizaserăm,OK,a i d v t l z s r m
78,8,subapreciez,OK,e c b s u a p z
79,5,clasatului,OK,i u t a s
80,8,faraonicul,OK,i e o a f l c u
81,5,înrolărilor,OK,l î n ă i
82,6,primeziu,OK,i p m ă e z
83,5,cruciatului,OK,i u r t l
84,8,prodigatele,OK,r i e d g a t l
85,8,vina,OK,i m t ș c b o v
86,5,cifrarăm,OK,i c ă a m
87,8,înfruntasem,OK,e a t n î f r u
88,5,vioșeli,OK,r i v e l
89,9,amușiserăți,OK,i t e a m u ș s r
90,7,telegrafiară,OK,t l a g f i ă
91,8,citronadele,OK,i n e c t r o l
92,10,baschetbaliștilor,OK,l b a t i c h e ș o
93,7,septicul,OK,u e r s t i c
94,2,veneno,OK,e v
95,6,gudronăm,OK,r m g u d n
96,7,cordenciului,OK,i u o d e n l
97,7,stropșire,OK,i r u o p ș e
98,7,foiletonist,OK,r o t l e n s
99,7,pliciseră,OK,e r a i p l c
100,7,achitat,OK,s p n e c h i
